file_name,description,exists,size_bytes,sha256,source_path
pilot17_rag_snapshot_v3_4.jsonl,RAG检索快照（逐题Top-K）,YES,673005,73e9f6b963e1310480c3b3cb526d1655cf8418d4e3abfc2111d5ba5a9916c511,E:\实验文件整理_按论文逻辑\实验\03_knowledge_base\pilot17_rag_snapshot_v3_4.jsonl
pilot17_web_snapshot_v3_4.jsonl,Web搜索快照（逐题Top-5）,YES,44928,75c2e2f8ffe99f5ad603debf7ea3b664ff7797908cda11ce322c7c210d09b7f8,E:\实验文件整理_按论文逻辑\实验\03_knowledge_base\pilot17_web_snapshot_v3_4.jsonl
standard_cards.json,标准知识卡元数据,YES,81172,545543b1e116693be680f8280db33464d80df5df71b3a437c05f3f1c66383e9c,E:\实验文件整理_按论文逻辑\实验\03_knowledge_base\standard_cards.json
rag_manifest_v3.json,RAG知识库清单v3,YES,704,6475e21c8af0d29457844b6e1a03a4750ea6ca3a8fc84947a8757d3362513863,E:\实验文件整理_按论文逻辑\实验\03_knowledge_base\rag_manifest_v3.json
pilot16_rag_manifest.json,Pilot16 RAG清单,YES,940,82eeb3c96dab45fa5c7884565d43258a5b0c24903fb79c0499a60b7c2e639935,E:\实验文件整理_按论文逻辑\实验\03_knowledge_base\pilot16_rag_manifest.json
